state,new_case,tot_cases,new_death,tot_death
SD,0,0,0,0
SD,108,108,1,1
SD,2341,2449,16,17
SD,2544,4993,45,62
SD,1771,6764,29,91
SD,2000,8764,39,130
SD,4745,13509,37,167
SD,8880,22389,56,223
SD,23603,45992,202,425
SD,14724,60716,142,567
TN,0,0,0,0
TN,0,0,0,0
TN,2239,2239,23,23
TN,8496,10735,176,199
TN,12424,23159,167,366
TN,20350,43509,238,604
TN,62450,105959,456,1060
TN,48974,154933,694,1754
TN,41206,196139,700,2454
TN,64533,260672,899,3353
TN,36053,296725,435,3788
TX,0,0,0,0
TX,0,0,0,0
TX,3266,3266,41,41
TX,24821,28087,741,782
TX,36200,64287,890,1672
TX,95699,159986,752,2424
TX,260960,420946,4145,6569
TX,192023,612969,5967,12536
TX,135998,748967,3175,15711
TX,151629,900596,2313,18024
TX,93245,993841,1123,19147
UT,0,0,0,0
UT,0,0,0,0
UT,934,934,5,5
UT,3819,4753,41,46
UT,5191,9944,67,113
UT,12802,22746,60,173
UT,18051,40797,134,307
UT,11995,52792,101,408
UT,20250,73042,51,459
UT,41614,114656,145,604
UT,28983,143639,83,687
VA,0,0,0,0
VA,0,0,0,0
VA,1484,1484,34,34
VA,15417,16901,547,581
VA,28497,45398,811,1392
VA,17389,62787,371,1763
VA,28014,90801,452,2215
VA,30814,121615,397,2612
VA,27106,148721,616,3228
VA,33672,182393,427,3655
VA,16870,199263,130,3785
VI,0,0,0,0
VI,0,0,0,0
VI,30,30,0,0
VI,36,66,4,4
VI,3,69,2,6
VI,21,90,0,6
VI,331,421,2,8
VI,718,1139,7,15
VI,179,1318,5,20
VI,60,1378,1,21
VI,48,1426,2,23
VT,0,0,0,0
VT,0,0,0,0
VT,293,293,13,13
VT,573,866,36,49
VT,115,981,6,55
VT,227,1208,1,56
VT,206,1414,1,57
VT,215,1629,1,58
VT,126,1755,0,58
VT,402,2157,0,58
VT,494,2651,1,59
WA,1,1,0,0
WA,6,7,1,1
WA,4889,4896,194,195
WA,9431,14327,619,814
WA,7375,21702,304,1118
WA,11122,32824,214,1332
WA,22979,55803,232,1564
WA,18832,74635,351,1915
WA,12887,87522,211,2126
WA,19979,107501,240,2366
WA,15855,123356,141,2507
WI,0,0,0,0
WI,0,0,0,0
WI,1351,1351,16,16
WI,5503,6854,300,316
WI,11549,18403,276,592
WI,13259,31662,199,791
WI,25272,56934,150,941
WI,23634,80568,189,1130
WI,48555,129123,207,1337
WI,108747,237870,755,2092
WI,71702,309572,529,2621
WV,0,0,0,0
WV,0,0,0,0
WV,162,162,1,1
WV,963,1125,43,44
WV,885,2010,31,75
WV,895,2905,18,93
WV,3737,6642,23,116
WV,3608,10250,98,214
WV,5598,15848,136,350
WV,8612,24460,107,457
WV,6437,30897,98,555
WY,0,0,0,0
WY,0,0,0,0
WY,120,120,0,0
WY,439,559,7,7
WY,344,903,10,17
WY,584,1487,3,20
WY,1239,2726,6,26
WY,1116,3842,11,37
WY,2106,5948,13,50
WY,7350,13298,37,87
WY,7181,20479,40,127
