State,Month,2019_rate,2020_rate,%_dif
RI,May,3.33,3.01,-0.3200000000000003
SC,Jan,2.28,2.28,0.0
SC,Feb,2.28,2.32,0.040000000000000036
SC,Mar,2.25,2.43,0.18000000000000016
SC,Apr,2.18,2.51,0.3299999999999996
SC,May,2.16,2.64,0.48
SD,Jan,0.69,1.05,0.3600000000000001
SD,Feb,0.79,1.03,0.24
SD,Mar,0.76,1.09,0.33000000000000007
SD,Apr,0.8,1.13,0.32999999999999985
SD,May,0.84,1.08,0.2400000000000001
TN,Jan,2.55,2.83,0.28000000000000025
TN,Feb,2.52,2.88,0.3599999999999999
TN,Mar,2.54,2.96,0.41999999999999993
TN,Apr,2.56,3.05,0.48999999999999977
TN,May,2.57,3.24,0.6700000000000004
TX,Jan,1.47,1.54,0.07000000000000006
TX,Feb,1.45,1.56,0.1100000000000001
TX,Mar,1.46,1.58,0.1200000000000001
TX,Apr,1.46,1.61,0.15000000000000013
TX,May,1.47,1.64,0.16999999999999993
UT,Jan,3.33,2.92,-0.41000000000000014
UT,Feb,3.28,2.89,-0.3899999999999997
UT,Mar,3.22,2.83,-0.3900000000000001
UT,Apr,3.15,2.88,-0.27
UT,May,3.0,2.92,-0.08000000000000007
VA,Jan,2.16,2.23,0.06999999999999984
VA,Feb,2.17,2.22,0.050000000000000266
VA,Mar,2.17,2.23,0.06000000000000005
VA,Apr,2.18,2.24,0.06000000000000005
VA,May,2.18,2.34,0.1599999999999997
VT,Jan,2.57,2.05,-0.52
VT,Feb,2.64,1.93,-0.7100000000000002
VT,Mar,2.53,1.98,-0.5499999999999998
VT,Apr,2.57,2.13,-0.43999999999999995
VT,May,2.36,2.33,-0.029999999999999805
WA,Jan,2.08,2.16,0.08000000000000007
WA,Feb,2.07,2.18,0.11000000000000032
WA,Mar,2.07,2.24,0.17000000000000037
WA,Apr,2.06,2.33,0.27
WA,May,2.05,2.43,0.38000000000000034
WI,Jan,2.04,2.28,0.23999999999999977
WI,Feb,2.02,2.35,0.33000000000000007
WI,Mar,2.05,2.33,0.28000000000000025
WI,Apr,2.11,2.34,0.22999999999999998
WI,May,2.1,2.43,0.33000000000000007
WV,Jan,3.92,3.85,-0.06999999999999984
WV,Feb,3.82,3.9,0.08000000000000007
WV,Mar,3.76,3.92,0.16000000000000014
WV,Apr,3.78,4.01,0.22999999999999998
WV,May,3.7,4.45,0.75
WY,Jan,1.29,1.64,0.34999999999999987
WY,Feb,1.28,1.67,0.3899999999999999
WY,Mar,1.37,1.7,0.32999999999999985
WY,Apr,1.34,1.72,0.3799999999999999
WY,May,1.34,1.83,0.49
